cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN687,1,1,2022-07-29 19:19:29+00:00,32.5045,32.5032,23.8886,23.8864,248.23094,254.576,257.686,15.7294,15.7354,1506.38,1506.4,5270.0,210.805191,219.542,18.251,18.109,15.7322,15.7382,0.006,4.085208,4.085623,3.9773,1.0653,0.4627,2.4163,0.153,3.06,2.8276,2.7652,2.7652,2.4024,2.4024,0.1583,65.549,3.2169,0.0,2037.8,41.18946,-70.87582
EN687,1,2,2022-07-29 19:19:35+00:00,32.5057,32.5033,23.8901,23.8883,248.23926,254.457,257.634,15.7273,15.727,1506.37,1506.37,5420.0,210.805264,225.792,18.054,17.913,15.7301,15.7297,-0.0003,4.085143,4.08484,3.9868,1.0556,0.4591,2.3946,0.1549,3.1,2.8565,2.7658,2.7659,2.403,2.403,0.1582,70.129,3.3899,0.0,2068.8,41.18947,-70.87581
EN687,1,3,2022-07-29 19:22:10+00:00,32.3897,32.3927,23.4465,23.4261,241.05278,267.254,268.409,17.2756,17.3717,1510.95,1511.24,9128.0,210.807052,380.292,16.139,16.013,17.2782,17.3744,0.0962,4.215791,4.225117,3.8666,1.1799,0.4947,2.6081,0.2878,5.75,2.9977,2.9491,2.9492,2.5451,2.5452,0.1324,96.995,5.0815,0.0,1908.7,41.1897,-70.87546
EN687,1,4,2022-07-29 19:22:22+00:00,32.391,32.3897,23.4177,23.4117,240.46609,265.868,268.306,17.402,17.4229,1511.33,1511.39,9415.0,210.80719,392.25,16.123,15.998,17.4046,17.4255,0.0209,4.227753,4.229551,3.8699,1.1764,0.5268,2.8009,0.285,5.7,3.0223,2.9374,2.9375,2.5406,2.5407,0.1286,102.64,5.1235,0.0,2003.3,41.18972,-70.87544
EN687,1,5,2022-07-29 19:22:29+00:00,32.3913,32.3966,23.3966,23.3975,240.05306,266.44,268.21,17.4916,17.5048,1511.59,1511.64,9589.0,210.807274,399.5,16.024,15.899,17.4942,17.5074,0.0132,4.236153,4.238014,3.8686,1.1778,0.4962,2.6173,0.2937,5.88,2.9848,2.942,2.9421,2.5496,2.5496,0.1585,94.198,5.1538,0.0,1827.3,41.18974,-70.87542
EN687,1,6,2022-07-29 19:22:40+00:00,32.398,32.4027,23.3877,23.3881,239.77303,266.158,269.702,17.5502,17.5642,1511.77,1511.82,9841.0,210.807396,410.0,15.86,15.736,17.5528,17.5668,0.014,4.242413,4.244283,3.8683,1.1781,0.4896,2.5776,0.2971,5.94,2.9574,2.94,2.9401,2.5487,2.5488,0.1585,88.395,5.225,0.0,1691.8,41.18976,-70.87538
EN687,1,7,2022-07-29 19:22:48+00:00,32.386,32.3861,23.4573,23.4413,241.32718,266.525,268.427,17.2177,17.2861,1510.77,1510.98,10047.0,210.807495,418.583,16.22,16.093,17.2204,17.2888,0.0684,4.209959,4.216366,3.8621,1.1846,0.5044,2.6666,0.2713,5.43,2.9063,2.9409,2.941,2.5432,2.5433,0.1584,78.557,4.7285,0.0,1661.4,41.18978,-70.87536
EN687,1,8,2022-07-29 19:22:54+00:00,32.3848,32.3893,23.4249,23.4109,240.71194,266.891,269.079,17.351,17.4249,1511.16,1511.39,10194.0,210.807566,424.708,15.951,15.826,17.3536,17.4275,0.0739,4.222245,4.229679,3.8619,1.1848,0.4739,2.4832,0.2834,5.67,2.9339,2.941,2.941,2.5498,2.5498,0.1586,83.733,5.1066,0.0,1639.7,41.18978,-70.87534
EN687,1,9,2022-07-29 19:23:00+00:00,32.3982,32.3958,23.3887,23.3877,239.78759,266.272,269.64,17.547,17.5436,1511.76,1511.75,10339.0,210.807636,430.75,15.621,15.499,17.5496,17.5461,-0.0034,4.242129,4.241521,3.864,1.1826,0.5087,2.6923,0.3033,6.07,2.9621,2.94,2.94,2.5499,2.5499,0.1583,89.35,5.5002,0.0,1624.6,41.1898,-70.87532
EN687,1,10,2022-07-29 19:24:44+00:00,32.4406,32.4449,23.069,23.0859,233.28879,265.422,267.554,18.9863,18.9321,1515.98,1515.83,12825.0,210.808835,534.333,13.39,13.285,18.9887,18.9344,-0.0543,4.382413,4.3778,3.9849,1.0575,0.3226,1.5759,0.4024,8.05,3.1557,3.0024,3.0025,2.6024,2.6024,0.1586,139.71,7.793,0.0,1792.9,41.1898,-70.87488
EN687,1,11,2022-07-29 19:24:53+00:00,32.4632,32.4516,23.1167,23.0959,233.78348,265.2,267.47,18.8648,18.9125,1515.66,1515.78,13044.0,210.80894,543.458,13.582,13.476,18.8671,18.9149,0.0477,4.373665,4.376772,3.9789,1.0637,0.3049,1.4692,0.3968,7.94,3.1263,3.0033,3.0033,2.6022,2.6023,0.1587,130.48,7.5162,0.0,1736.0,41.18982,-70.87485
EN687,1,12,2022-07-29 19:25:01+00:00,32.4518,32.4556,23.0962,23.1062,233.5964,265.718,267.646,18.9117,18.8837,1515.78,1515.7,13225.0,210.809028,551.0,13.496,13.391,18.9141,18.8861,-0.028,4.376715,4.374531,3.9722,1.0705,0.3136,1.5218,0.3973,7.95,3.1143,3.0049,3.005,2.5984,2.5985,0.1371,126.95,7.4043,0.0,1714.6,41.18978,-70.87481
EN687,1,13,2022-07-29 19:25:08+00:00,32.4592,32.4514,23.1125,23.0992,233.76954,265.628,267.032,18.8694,18.8986,1515.67,1515.74,13416.0,210.80912,558.958,13.54,13.435,18.8718,18.901,0.0292,4.373617,4.375434,3.9889,1.0535,0.3101,1.5008,0.3977,7.96,3.1159,3.0035,3.0036,2.5999,2.6,0.1587,127.38,7.4772,0.0,1703.6,41.18978,-70.87478
EN687,1,14,2022-07-29 19:25:16+00:00,32.4721,32.4661,23.1276,23.1195,233.84141,265.867,267.985,18.8483,18.8625,1515.62,1515.65,13601.0,210.809209,566.667,13.519,13.414,18.8507,18.8649,0.0142,4.373183,4.373794,3.984,1.0585,0.3116,1.5099,0.3844,7.69,3.1205,3.0048,3.0049,2.6022,2.6023,0.1587,128.75,7.5473,0.0,1705.9,41.18978,-70.87474
