cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN712,001,1,2024-02-09 18:34:42+00:00,31.3819,31.3854,24.8226,24.8255,317.44282,318.949,317.444,4.8605,4.8594,1465.84,1465.84,4986.0,40.774094,207.708,17.396,17.26,4.8617,4.8606,-0.0011,3.021028,3.021241,3.5241,1.5871,0.4091,2.0886,0.2547,5.09,1.1251,3.5075,3.5075,2.5098,2.5098,0.3136,1.4911,0.2056,0.0,725.27,41.19286,-70.8851
EN712,001,2,2024-02-09 18:34:50+00:00,31.3858,31.3887,24.8255,24.8279,317.41865,318.949,317.505,4.8625,4.8613,1465.85,1465.85,5166.0,40.774181,215.208,17.541,17.404,4.8637,4.8625,-0.0012,3.021532,3.021687,3.5313,1.5788,0.4149,2.1238,0.2563,5.13,1.1219,3.5086,3.5087,2.5127,2.5127,0.2913,1.4815,0.20408,0.0,726.05,41.19286,-70.8851
EN712,001,3,2024-02-09 18:34:57+00:00,31.3873,31.391,24.8266,24.8296,317.40736,318.971,317.531,4.8635,4.8629,1465.85,1465.85,5342.0,40.774266,222.542,17.059,16.925,4.8647,4.8641,-0.0006,3.021729,3.022007,3.5207,1.591,0.4364,2.2524,0.2845,5.69,1.1741,3.507,3.507,2.5109,2.5109,0.3216,1.6843,0.23309,0.0,722.6,41.19286,-70.8851
EN712,001,4,2024-02-09 18:35:06+00:00,31.3847,31.3875,24.8247,24.8271,317.42592,318.639,317.446,4.8619,4.8606,1465.84,1465.84,5547.0,40.774364,231.083,16.843,16.712,4.8631,4.8618,-0.0013,3.021358,3.021503,3.5053,1.6089,0.4227,2.1702,0.3016,6.03,1.1827,3.5036,3.5036,2.5103,2.5103,0.3271,1.7246,0.2387,0.0,722.45,41.19284,-70.8851
EN712,001,5,2024-02-09 18:35:20+00:00,31.3878,31.3909,24.827,24.8296,317.40882,318.434,317.987,4.8631,4.8622,1465.86,1465.86,5882.0,40.774526,245.042,17.323,17.188,4.8643,4.8634,-0.001,3.021754,3.021945,3.5235,1.5877,0.4216,2.1637,0.2734,5.47,1.1494,3.5061,3.5061,2.5146,2.5146,0.3025,1.5851,0.21969,0.0,721.63,41.19284,-70.88512
EN712,001,6,2024-02-09 18:36:55+00:00,31.108,31.1099,24.6268,24.6285,319.67106,335.253,334.71,4.6564,4.6541,1464.5,1464.5,8168.0,40.775628,340.292,8.8,8.731,4.657,4.6547,-0.0023,2.980092,2.980072,3.7095,1.3786,0.5021,2.6465,0.7037,14.08,2.4941,3.6401,3.6402,2.6086,2.6086,0.2823,37.66,5.1965,0.0,724.75,41.19284,-70.88514
EN712,001,7,2024-02-09 18:37:03+00:00,31.1241,31.1251,24.6382,24.6392,319.52927,336.698,335.266,4.6697,4.6675,1464.58,1464.57,8359.0,40.77572,348.25,8.657,8.589,4.6703,4.6681,-0.0023,2.982568,2.982472,3.7027,1.386,0.4518,2.3445,0.7217,14.43,2.4753,3.6411,3.6412,2.6114,2.6114,0.2935,36.095,5.0029,0.0,721.56,41.19282,-70.88517
EN712,001,8,2024-02-09 18:37:13+00:00,31.1126,31.1144,24.6299,24.6316,319.62206,335.527,334.573,4.6613,4.659,1464.53,1464.52,8603.0,40.775838,358.417,8.717,8.649,4.6619,4.6596,-0.0023,2.980884,2.980855,3.7051,1.3835,0.4483,2.3236,0.7048,14.09,2.5,3.6398,3.6399,2.6072,2.6072,0.2749,38.157,5.2953,0.0,720.56,41.19282,-70.88516
EN712,001,9,2024-02-09 18:37:26+00:00,31.0998,31.103,24.6209,24.6236,319.73341,336.733,335.564,4.6509,4.6489,1464.47,1464.46,8915.0,40.775989,371.417,8.716,8.648,4.6514,4.6495,-0.002,2.97893,2.979043,3.7102,1.3779,0.4488,2.3271,0.7152,14.31,2.5225,3.6474,3.6474,2.6124,2.6125,0.2593,40.184,5.5846,0.0,719.56,41.19282,-70.88516
EN712,001,10,2024-02-09 18:37:32+00:00,31.1012,31.1046,24.6224,24.6254,319.76388,336.979,336.245,4.6466,4.6443,1464.45,1464.45,9064.0,40.77606,377.625,8.684,8.616,4.6471,4.6449,-0.0022,2.978692,2.978808,3.7078,1.3806,0.4518,2.3451,0.7051,14.1,2.5209,3.6478,3.6478,2.614,2.614,0.2695,40.079,5.5651,0.0,720.19,41.19282,-70.88516
EN712,001,11,2024-02-09 18:37:42+00:00,31.1006,31.1036,24.6216,24.6239,319.73492,337.103,335.717,4.6504,4.6509,1464.47,1464.48,9311.0,40.77618,387.917,8.884,8.815,4.651,4.6515,0.0005,2.97897,2.979266,3.7181,1.3692,0.4443,2.2998,0.7043,14.09,2.4853,3.6479,3.648,2.6103,2.6103,0.2864,36.889,5.114,0.0,721.34,41.19282,-70.88516
EN712,001,12,2024-02-09 18:37:53+00:00,31.1015,31.1056,24.6224,24.6255,319.73924,337.846,335.522,4.6496,4.6503,1464.47,1464.48,9569.0,40.776304,398.667,8.976,8.906,4.6502,4.6509,0.0007,2.978984,2.979397,3.7092,1.379,0.4535,2.3551,0.6925,13.85,2.483,3.6487,3.6488,2.6107,2.6107,0.2844,36.758,5.0984,0.0,721.01,41.19282,-70.88518
EN712,001,13,2024-02-09 18:38:01+00:00,31.1054,31.1092,24.6249,24.628,319.69026,336.541,335.429,4.6547,4.6542,1464.49,1464.5,9764.0,40.776398,406.792,8.799,8.73,4.6553,4.6548,-0.0005,2.979732,2.980013,3.6999,1.3892,0.4433,2.2939,0.71,14.2,2.5208,3.6477,3.6477,2.6115,2.6115,0.2875,40.072,5.5861,0.0,717.37,41.19282,-70.88518
EN712,001,14,2024-02-09 18:41:53+00:00,31.1087,31.1127,24.6272,24.6306,319.6582,336.161,334.979,4.6582,4.6564,1464.42,1464.42,15314.0,40.779075,638.042,3.192,3.167,4.6584,4.6566,-0.0018,2.980033,2.980235,3.6624,1.4306,0.4007,2.0383,0.9798,19.6,3.8878,3.6498,3.6499,2.611,2.6111,0.2326,1020.9,88.082,0.0,1155.2,41.19272,-70.88534
EN712,001,15,2024-02-09 18:42:09+00:00,31.1005,31.1083,24.6209,24.6274,319.68955,336.964,335.647,4.6567,4.6538,1464.4,1464.39,15704.0,40.779263,654.292,2.802,2.781,4.6569,4.654,-0.0029,2.979177,2.979618,3.5592,1.5471,0.3662,1.8312,1.035,20.7,4.2729,3.6543,3.6544,2.6142,2.6142,0.2858,2268.1,234.43,0.0,969.15,41.1927,-70.88536
