cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR99,2,1,2026-01-13 18:29:20+00:00,25.6078,25.6075,313.33056,307.146,5.0886,5.0886,32.4041,32.4036,1025.688,1025.6876,17.268,5.0899,5.0899,3.129195,3.129156,3.216,1.4137,0.7857,0.00039869,17.133109637130218,41.195667,-70.883
AR99,2,2,2026-01-13 18:29:33+00:00,25.6078,25.6077,313.32876,307.024,5.0889,5.0888,32.4041,32.4039,1025.6875,1025.6874,17.177,5.0901,5.0901,3.129211,3.129188,3.2153,1.4019,0.7439,0.00039869,17.042824252084102,41.195667,-70.883
AR99,2,3,2026-01-13 18:29:50+00:00,25.6078,25.6077,313.32971,306.933,5.0888,5.0887,32.404,32.4039,1025.6879,1025.6878,17.275,5.09,5.09,3.129201,3.129184,3.2144,1.3681,0.7764,0.00037378,17.140054665098763,41.195667,-70.883
AR99,2,4,2026-01-13 18:30:02+00:00,25.6079,25.6076,313.33203,307.145,5.0885,5.0888,32.4041,32.4038,1025.6873,1025.687,17.109,5.0897,5.09,3.129173,3.129172,3.2155,1.1933,0.7855,0.00047345,16.97535822405994,41.195667,-70.883
AR99,2,5,2026-01-13 18:30:12+00:00,25.6078,25.6075,313.33343,307.359,5.0883,5.0885,32.4039,32.4036,1025.6882,1025.688,17.338,5.0896,5.0898,3.129158,3.129154,3.2169,1.3771,0.8149,0.00022427,17.202559906206048,41.195667,-70.883
AR99,2,6,2026-01-13 18:30:22+00:00,25.6077,25.6075,313.33411,307.078,5.0882,5.0882,32.4039,32.4035,1025.6877,1025.6875,17.24,5.0895,5.0895,3.129143,3.129112,3.216,1.3416,0.7455,0.00044853,17.10532952289834,41.195667,-70.883
AR99,2,7,2026-01-13 18:30:37+00:00,25.6078,25.6076,313.33494,307.098,5.0881,5.088,32.404,32.4037,1025.6882,1025.688,17.316,5.0893,5.0892,3.129144,3.129107,3.2162,1.1896,0.7576,0.00039869,17.18073268132275,41.195667,-70.883
AR99,2,8,2026-01-13 18:33:47+00:00,25.6073,25.6069,313.30477,307.442,5.0926,5.0927,32.4039,32.4035,1025.654,1025.6536,10.06,5.0934,5.0935,3.129163,3.129134,3.221,1.2113,0.7875,0.00037378,9.981589998530765,41.195667,-70.883
AR99,2,9,2026-01-13 18:33:56+00:00,25.6078,25.6075,313.32703,307.229,5.0896,5.09,32.4042,32.4039,1025.6546,1025.6543,10.078,5.0903,5.0908,3.128931,3.128939,3.2195,1.1972,0.7497,0.00039869,9.999449265746804,41.195667,-70.883
AR99,2,10,2026-01-13 18:34:06+00:00,25.6078,25.6075,313.32941,307.041,5.0893,5.0894,32.4042,32.4038,1025.6549,1025.6545,10.133,5.09,5.0902,3.128903,3.128881,3.2179,1.2068,0.8733,0.00042361,10.054019239245577,41.195667,-70.883
AR99,2,11,2026-01-13 18:34:25+00:00,25.6076,25.6072,313.31366,307.359,5.0914,5.0916,32.4042,32.4037,1025.6549,1025.6544,10.181,5.0921,5.0924,3.129083,3.129061,3.2195,1.2021,0.7549,0.00032394,10.101643931493141,41.195667,-70.883
AR99,2,12,2026-01-13 18:34:36+00:00,25.6076,25.6074,313.31989,307.416,5.0906,5.0906,32.404,32.4038,1025.655,1025.6547,10.207,5.0913,5.0914,3.129006,3.128987,3.2211,1.1413,0.7865,0.00039869,10.127440635164167,41.195667,-70.883
