cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN720,002,1,2024-09-06 18:54:58+00:00,32.074,32.0761,22.8938,22.8752,235.71471,248.546,243.34,18.5651,18.6471,1514.38,1514.62,6330.0,250.788168,263.708,15.285,15.165,18.5677,18.6497,0.082,4.298799,4.306709,4.3465,0.7355,0.2291,1.0089,0.2892,5.78,3.1602,2.3082,2.3082,2.6249,2.6249,0.2183,174.88,8.467,0.0,2065.3,41.19538,-70.88002
EN720,002,2,2024-09-06 18:55:05+00:00,32.0698,32.0499,22.9016,22.8934,235.91818,248.298,242.524,18.5207,18.4921,1514.25,1514.14,6487.0,250.788244,270.25,15.419,15.299,18.5233,18.4948,-0.0286,4.294162,4.289109,4.339,0.7425,0.2331,1.0327,0.2732,5.46,3.1301,2.3008,2.3008,2.6161,2.6161,0.2564,164.32,8.1485,0.0,2015.3,41.1954,-70.88002
EN720,002,3,2024-09-06 18:55:11+00:00,32.0816,32.0587,22.8843,22.8749,235.42853,248.7,242.901,18.627,18.5943,1514.57,1514.45,6640.0,250.788317,276.625,15.097,14.98,18.6296,18.5968,-0.0328,4.305477,4.299673,4.3457,0.7362,0.2272,0.9971,0.3001,6.0,3.184,2.305,2.3051,2.6244,2.6244,0.2378,184.74,8.6954,0.0,2124.6,41.1954,-70.88004
EN720,002,4,2024-09-06 18:55:17+00:00,32.0775,32.0632,22.8981,22.8531,235.73829,248.589,242.112,18.5585,18.6961,1514.36,1514.75,6789.0,250.788389,282.833,15.207,15.088,18.5611,18.6988,0.1376,4.298596,4.309732,4.3358,0.7454,0.2409,1.0796,0.2952,5.91,3.1857,2.2991,2.2991,2.6125,2.6125,0.2607,185.51,8.6724,0.0,2139.1,41.1954,-70.88004
EN720,002,5,2024-09-06 18:55:24+00:00,32.0464,32.0526,22.9235,22.914,236.6784,248.42,244.008,18.3584,18.4166,1513.75,1513.93,6951.0,250.788467,289.583,15.533,15.412,18.361,18.4192,0.0582,4.27623,4.2824,4.3392,0.7423,0.2421,1.0868,0.2772,5.54,3.2126,2.303,2.3031,2.623,2.623,0.2491,197.41,8.6519,0.0,2281.6,41.19542,-70.88004
EN720,002,6,2024-09-06 18:57:46+00:00,32.1647,32.1483,22.6806,22.6691,230.69724,245.686,240.27,19.6884,19.684,1517.58,1517.55,10357.0,250.79011,431.5,8.779,8.71,19.69,19.6856,-0.0045,4.414802,4.412357,4.3678,0.7156,0.1537,0.5563,0.6202,12.4,3.5203,2.329,2.329,2.6406,2.6406,0.244,402.54,20.145,0.0,1997.8,41.19554,-70.88016
EN720,002,7,2024-09-06 18:57:53+00:00,32.1575,32.1661,22.6758,22.6823,230.72122,245.631,240.7,19.6853,19.6855,1517.58,1517.59,10519.0,250.790188,438.25,9.503,9.428,19.687,19.6872,0.0002,4.413656,4.414733,4.3912,0.694,0.1498,0.5328,0.582,11.64,3.44,2.329,2.3291,2.651,2.651,0.2419,333.66,17.108,0.0,1950.4,41.19554,-70.88018
EN720,002,8,2024-09-06 18:57:59+00:00,32.1861,32.1872,22.6945,22.6958,230.62523,245.865,240.701,19.6974,19.6954,1517.65,1517.65,10677.0,250.790264,444.833,9.932,9.855,19.6992,19.6972,-0.002,4.418342,4.418287,4.3921,0.6931,0.1559,0.5696,0.5405,10.81,3.4503,2.3278,2.3279,2.6496,2.6496,0.2197,342.71,16.658,0.0,2058.2,41.19555,-70.88018
EN720,002,9,2024-09-06 18:58:06+00:00,32.0723,32.0657,22.6153,22.6104,230.92643,245.833,239.074,19.668,19.6678,1517.43,1517.42,10832.0,250.790339,451.292,9.179,9.108,19.6696,19.6695,-0.0001,4.401544,4.400727,4.3266,0.7541,0.1607,0.5984,0.5821,11.64,3.5203,2.3273,2.3274,2.6362,2.6362,0.2276,402.04,18.75,0.0,2144.8,41.19556,-70.88018
EN720,002,10,2024-09-06 18:58:12+00:00,32.0934,32.0759,22.6295,22.6162,230.86236,245.6,239.848,19.6754,19.6753,1517.47,1517.45,10988.0,250.790414,457.792,8.894,8.824,19.677,19.6769,-0.0001,4.404823,4.402651,4.3298,0.751,0.1629,0.6114,0.6036,12.07,3.5653,2.3282,2.3283,2.6492,2.6493,0.2099,448.39,20.474,0.0,2190.4,41.19556,-70.88018
EN720,002,11,2024-09-06 18:58:20+00:00,32.086,32.085,22.6261,22.6252,230.91011,246.042,240.966,19.6669,19.6672,1517.44,1517.44,11171.0,250.790503,465.417,9.036,8.966,19.6685,19.6688,0.0003,4.403118,4.403023,4.3219,0.7585,0.1617,0.6043,0.597,11.94,3.5381,2.3265,2.3266,2.6468,2.6468,0.2396,420.65,18.899,0.0,2225.4,41.19556,-70.8802
