cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR77,001,1,2023-10-11 15:51:45+00:00,23.0343,23.029,246.24744,215.672,16.4514,16.4613,31.6025,31.5985,1023.1075,1023.1022,16.633,16.454,16.4639,4.048758,4.049198,2.7131,1.6966,0.3295,0.16897,16.50309565699544,41.1955,-70.87716666666667
AR77,001,2,2023-10-11 15:51:53+00:00,23.0402,23.034,246.28683,214.595,16.4415,16.4524,31.6071,31.6024,1023.1148,1023.1087,16.966,16.4441,16.4551,4.048416,4.048867,2.714,1.2852,0.3159,0.16895,16.83348132025086,41.1955,-70.87716666666667
AR77,001,3,2023-10-11 15:52:00+00:00,23.0342,23.0348,246.24269,216.371,16.4522,16.4514,31.6026,31.603,1023.1086,1023.1091,16.888,16.4549,16.454,4.048871,4.048838,2.7236,1.5069,0.4556,0.1686,16.756093735268443,41.1955,-70.87716666666667
AR77,001,4,2023-10-11 15:52:09+00:00,23.0329,23.0319,246.23099,215.838,16.455,16.4564,31.6017,31.6008,1023.1065,1023.1054,16.708,16.4576,16.4591,4.04901,4.049035,2.7208,1.2901,0.3269,0.16974,16.57750688896644,41.1955,-70.87716666666667
AR77,001,5,2023-10-11 15:52:16+00:00,23.0383,23.0362,246.27013,213.917,16.4454,16.4486,31.6058,31.6041,1023.1132,1023.1111,17.015,16.4481,16.4512,4.048627,4.048713,2.7107,1.5469,0.4791,0.16835,16.882096583024726,41.1955,-70.87716666666667
AR77,001,6,2023-10-11 15:55:00+00:00,22.8589,22.8537,244.95015,228.834,16.7702,16.7707,31.4686,31.462,1022.9014,1022.8962,9.676,16.7717,16.7722,4.061889,4.061175,2.8721,1.7588,0.2511,0.17171,9.600592073108423,41.1955,-70.87716666666667
AR77,001,7,2023-10-11 15:55:08+00:00,22.8556,22.8534,244.96907,228.078,16.7679,16.7711,31.4637,31.4617,1022.8984,1022.8961,9.725,16.7695,16.7727,4.061116,4.061179,2.8678,1.6563,0.556,0.16925,9.649209054838984,41.1955,-70.87716666666667
AR77,001,8,2023-10-11 15:55:15+00:00,22.8565,22.8555,245.00449,228.199,16.7608,16.7603,31.4628,31.4613,1022.8996,1022.8985,9.794,16.7623,16.7619,4.060367,4.060148,2.8704,1.6886,0.3253,0.16997,9.717669682989587,41.1955,-70.87716666666667
AR77,001,9,2023-10-11 15:55:25+00:00,22.8556,22.855,244.98273,228.687,16.7653,16.7609,31.4629,31.4608,1022.8989,1022.8982,9.834,16.7669,16.7624,4.060798,4.060145,2.8721,1.7588,0.2726,0.16887,9.757356993164965,41.1955,-70.87716666666667
AR77,001,10,2023-10-11 15:55:32+00:00,22.8548,22.8555,244.95965,227.634,16.77,16.7604,31.4633,31.4613,1022.8973,1022.898,9.673,16.7716,16.762,4.061261,4.060153,2.8693,1.4776,0.2705,0.16982,9.597615522831163,41.1955,-70.87716666666667
AR77,001,11,2023-10-11 15:55:41+00:00,22.8538,22.8561,244.94768,229.515,16.7728,16.7589,31.4627,31.4616,1022.8964,1022.8987,9.708,16.7743,16.7604,4.061443,4.06005,2.8727,1.5272,0.2871,0.17034,9.632341940037433,41.1955,-70.87716666666667
AR77,001,12,2023-10-11 15:57:58+00:00,22.8266,22.8237,244.3495,229.502,16.8988,16.904,31.4652,31.463,1022.8432,1022.8403,3.775,16.8994,16.9046,4.072839,4.07305,2.8939,0.9239,0.2245,1.074,3.745633922209903,41.1955,-70.87716666666667
AR77,001,13,2023-10-11 15:58:07+00:00,22.8254,22.8233,244.32357,229.961,16.9042,16.9063,31.4652,31.4632,1022.843,1022.8409,3.993,16.9048,16.9069,4.073348,4.073296,2.8938,1.0725,0.2308,0.29553,3.9619359847402764,41.1955,-70.87716666666667
AR77,001,14,2023-10-11 15:58:15+00:00,22.8255,22.8229,244.32751,229.999,16.9034,16.9081,31.4651,31.4631,1022.8434,1022.8407,4.063,16.904,16.9087,4.073268,4.073452,2.8944,1.0289,0.2464,0.26072,4.0313907269409555,41.1955,-70.87716666666667
AR77,001,15,2023-10-11 15:58:27+00:00,22.8226,22.8216,244.26484,229.797,16.9166,16.914,31.4653,31.4632,1022.8389,1022.8379,3.706,16.9172,16.9146,4.074468,4.073991,2.8954,0.831,0.2235,1.326,3.677171295124113,41.1955,-70.87716666666667
AR77,001,16,2023-10-11 15:58:34+00:00,22.8241,22.8219,244.29565,230.343,16.9101,16.913,31.4653,31.4633,1022.8407,1022.8385,3.782,16.9107,16.9136,4.073882,4.073916,2.895,1.0031,0.2306,0.18412,3.75257940483676,41.1955,-70.87716666666667
AR77,001,17,2023-10-11 15:58:42+00:00,22.823,22.8211,244.27428,229.308,16.9147,16.9164,31.4652,31.4633,1022.839,1022.8371,3.646,16.9152,16.917,4.074277,4.074213,2.8955,1.0138,0.2309,1.3273,3.617638557290703,41.1955,-70.87716666666667
