cruise,cast,niskin,date,scan,timej,times,prdm,t090c,t190c,c0s_m,c1s_m,v0,fleco_afl,v2,altm,v3,v4,sbeox0v,latitude,longitude,depsm,sal00,sal11,sigma_00,sigma_11,sbox0mm_kg,oxsolmm_kg,potemp090c,potemp190c,svcm,dz_dtm
HRS2303,012,3,2023-05-05 01:32:30+00:00,6122.0,125.064225,255.042,42.149,9.0102,9.0091,3.487875,3.487934,0.1219,0.5595,2.7023,3.98,0.0,0.4177,2.7023,41.0302,-70.8837,41.818,32.6032,32.6048,25.2408,25.2423,278.349,285.48265,9.0058,9.0047,1483.99,-0.039
HRS2303,012,4,2023-05-05 01:34:19+00:00,8748.0,125.065491,364.458,35.403,9.0144,9.0134,3.488036,3.488092,0.1264,0.6038,2.7047,11.06,0.0,0.4418,2.7048,41.03,-70.88357,35.126,32.604,32.6055,25.2407,25.2421,278.052,285.45444,9.0107,9.0097,1483.89,0.566
HRS2303,012,5,2023-05-05 01:34:25+00:00,8901.0,125.065565,370.833,34.957,9.016,9.0152,3.488141,3.488188,0.115,0.4902,2.7077,11.58,0.0,0.4178,2.7078,41.02996,-70.88356,34.683,32.6038,32.6051,25.2403,25.2414,278.885,285.44456,9.0124,9.0115,1483.89,0.612
HRS2303,012,6,2023-05-05 01:34:32+00:00,9054.0,125.065639,377.208,34.276,9.0158,9.0146,3.488058,3.488091,0.1172,0.5122,2.7073,12.05,0.0,0.4213,2.7074,41.02994,-70.88358,34.007,32.6035,32.6049,25.2401,25.2414,278.553,285.44689,9.0122,9.011,1483.88,0.103
HRS2303,012,7,2023-05-05 01:36:47+00:00,12302.0,125.067205,512.542,24.58,9.2438,9.2385,3.506206,3.505899,0.1497,0.8371,2.761,21.46,0.0,0.4191,2.7611,41.02966,-70.88352,24.388,32.5871,32.5888,25.1913,25.1934,283.777,284.05228,9.2412,9.2359,1484.54,-0.066
HRS2303,012,8,2023-05-05 01:36:53+00:00,12449.0,125.067276,518.667,24.63,9.2289,9.2254,3.504802,3.504643,0.1459,0.799,2.76,21.47,0.0,0.4305,2.7601,41.02964,-70.88352,24.438,32.5862,32.5877,25.193,25.1947,283.49,284.14734,9.2263,9.2228,1484.48,0.124
HRS2303,012,9,2023-05-05 01:37:00+00:00,12605.0,125.067351,525.167,24.407,9.2394,9.2431,3.505592,3.505977,0.1477,0.8174,2.7616,21.68,0.0,0.3887,2.7617,41.02962,-70.88352,24.217,32.5849,32.5854,25.1903,25.1901,283.789,284.08454,9.2368,9.2406,1484.52,-0.012
HRS2303,012,10,2023-05-05 01:39:24+00:00,16058.0,125.069017,669.042,2.808,9.347,9.3452,3.502226,3.502201,0.1406,0.7459,2.735,43.32,0.0,0.4211,2.7352,41.02904,-70.88364,2.786,32.4618,32.4632,25.0766,25.078,279.052,283.66632,9.3467,9.3449,1484.41,0.357
HRS2303,012,11,2023-05-05 01:39:30+00:00,16202.0,125.069086,675.042,2.487,9.346,9.3446,3.502089,3.502092,0.1411,0.7511,2.7355,43.66,0.0,0.4273,2.7356,41.02904,-70.88364,2.468,32.4615,32.4628,25.0765,25.0778,278.952,283.67358,9.3457,9.3443,1484.4,0.059
HRS2303,012,12,2023-05-05 01:39:36+00:00,16352.0,125.069158,681.292,2.417,9.347,9.3451,3.502164,3.502143,0.1394,0.7342,2.7347,43.42,0.0,0.3832,2.7349,41.02902,-70.88364,2.399,32.4614,32.4628,25.0763,25.0777,279.337,283.66748,9.3468,9.3449,1484.4,-0.259
