cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR92,1,1,2025-08-14 14:01:45+00:00,23.4931,23.4948,248.15225,240.135,15.9065,15.9088,32.0404,32.0432,1023.5681,1023.5697,16.999,15.9091,15.9114,4.049024,4.049558,2.7291,1.4776,0.3343,0.0013954,16.86622041247003,41.196667,-70.883333
AR92,1,2,2025-08-14 14:02:01+00:00,23.4991,23.501,248.19131,239.206,15.8968,15.8984,32.0453,32.0483,1023.5741,1023.5761,17.025,15.8994,15.901,4.048694,4.049175,2.7271,1.3775,0.3481,0.0010715,16.892016260743606,41.196667,-70.883333
AR92,1,3,2025-08-14 14:02:10+00:00,23.4821,23.4861,248.04772,240.895,15.9304,15.9283,32.033,32.0376,1023.557,1023.5611,17.007,15.9331,15.9309,4.050377,4.050706,2.7311,1.449,0.3643,0.0013705,16.87415759690065,41.196667,-70.883333
AR92,1,4,2025-08-14 14:02:23+00:00,23.4821,23.4835,248.04612,241.494,15.9307,15.9328,32.033,32.0355,1023.5578,1023.5592,17.184,15.9334,15.9355,4.050418,4.050893,2.7471,1.4119,0.361,0.0012459,17.049767723649314,41.196667,-70.883333
AR92,1,5,2025-08-14 14:02:31+00:00,23.4879,23.4889,248.0909,241.647,15.92,15.9237,32.0374,32.0398,1023.5632,1023.5642,17.087,15.9227,15.9263,4.049936,4.05054,2.7451,1.4387,0.3792,0.0013456,16.953529424269792,41.196667,-70.883333
AR92,1,6,2025-08-14 14:02:37+00:00,23.4919,23.493,248.11957,239.333,15.9131,15.9158,32.0407,32.0429,1023.5671,1023.5682,17.06,15.9157,15.9184,4.049661,4.050164,2.722,1.3945,0.3387,0.00099673,16.926741435975444,41.196667,-70.883333
AR92,1,7,2025-08-14 14:05:11+00:00,23.4371,23.4549,247.5128,245.025,16.0495,15.9991,32.0091,32.0175,1023.4808,1023.4986,9.917,16.051,16.0006,4.058185,4.054523,2.7793,1.3899,0.3187,0.0013207,9.8397070869176,41.196667,-70.883333
AR92,1,8,2025-08-14 14:05:21+00:00,23.4359,23.4378,247.51261,245.144,16.0501,16.0524,32.0076,32.0108,1023.4797,1023.4816,9.947,16.0516,16.0539,4.058065,4.058644,2.7834,1.3917,0.3062,0.0011961,9.869472549335129,41.196667,-70.883333
AR92,1,9,2025-08-14 14:05:31+00:00,23.4395,23.4384,247.54159,245.081,16.0432,16.0489,32.0103,32.0106,1023.4831,1023.4821,9.908,16.0447,16.0505,4.057737,4.0583,2.7861,1.4137,0.3283,0.0011462,9.830777447347721,41.196667,-70.883333
AR92,1,10,2025-08-14 14:05:43+00:00,23.4252,23.4294,247.34374,246.076,16.086,16.0821,32.0041,32.0085,1023.4686,1023.4728,9.855,16.0875,16.0837,4.060962,4.061107,2.7899,1.392,0.2731,0.0010964,9.778191784195672,41.196667,-70.883333
AR92,1,11,2025-08-14 14:05:50+00:00,23.4262,23.4313,247.34375,247.781,16.0855,16.0762,32.0054,32.0093,1023.4703,1023.4754,10.011,16.0871,16.0778,4.06107,4.060665,2.803,1.4272,0.2827,0.0012459,9.932972188016068,41.196667,-70.883333
AR92,1,12,2025-08-14 14:05:59+00:00,23.4283,23.427,247.35874,245.621,16.0819,16.0889,32.0071,32.0074,1023.4725,1023.4711,10.016,16.0834,16.0904,4.060928,4.061604,2.7936,1.3692,0.2817,0.001221,9.937933096457837,41.196667,-70.883333
