cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN727,001,1,2025-01-24 19:04:16+00:00,32.3518,32.3422,25.668,25.6604,320.91742,323.897,313.485,4.1209,4.1212,1463.99,1463.98,11462.0,24.794624,477.542,16.222,16.095,4.1219,4.1222,0.0003,3.043008,3.042214,3.9621,1.0996,0.2983,1.4238,0.2386,4.77,1.602,2.1855,2.1855,2.4987,2.4988,0.4411,4.7167,1.3834,0.0,340.94,41.19635,-70.88874
EN727,001,2,2025-01-24 19:04:27+00:00,32.3521,32.3422,25.668,25.6602,320.89988,323.862,313.831,4.123,4.1225,1464.0,1463.98,11722.0,24.79475,488.375,16.223,16.096,4.1241,4.1236,-0.0005,3.043208,3.042323,3.9561,1.1057,0.2886,1.3655,0.2453,4.91,1.595,2.1844,2.1844,2.4988,2.4989,0.444,4.6397,1.2381,0.0,379.87,41.19634,-70.88876
EN727,001,3,2025-01-24 19:04:45+00:00,32.3522,32.3424,25.6679,25.6601,320.87918,324.023,313.397,4.1256,4.1249,1464.01,1464.0,12158.0,24.79496,506.542,16.43,16.302,4.1267,4.126,-0.0007,3.043446,3.04255,3.9625,1.0991,0.2792,1.3091,0.2285,4.57,1.5797,2.1839,2.184,2.4998,2.4999,0.437,4.4741,0.40824,0.0,1110.4,41.19634,-70.88885
EN727,001,4,2025-01-24 19:05:02+00:00,32.3522,32.3422,25.6679,25.66,320.88103,323.062,313.453,4.1254,4.1245,1464.01,1463.99,12555.0,24.795151,523.083,16.316,16.189,4.1264,4.1256,-0.0009,3.043421,3.042499,3.9632,1.0985,0.2954,1.4066,0.2345,4.69,1.5946,2.1843,2.1843,2.4986,2.4987,0.4516,4.6349,0.71163,0.0,664.93,41.19634,-70.88896
EN727,001,5,2025-01-24 19:05:10+00:00,32.3523,32.3424,25.6677,25.6599,320.86248,323.749,313.465,4.1277,4.1271,1464.02,1464.01,12746.0,24.795244,531.042,16.315,16.187,4.1288,4.1282,-0.0006,3.043625,3.042733,3.96,1.1017,0.282,1.3259,0.2217,4.43,1.5914,2.1851,2.1851,2.5004,2.5004,0.4288,4.5992,0.45497,0.0,1055.7,41.19634,-70.88898
EN727,001,6,2025-01-24 19:05:27+00:00,32.352,32.3422,25.668,25.6602,320.90326,324.605,313.319,4.1226,4.1222,1464.0,1463.99,13160.0,24.795443,548.292,16.353,16.225,4.1237,4.1233,-0.0004,3.043173,3.042307,3.9609,1.1008,0.2898,1.3725,0.2139,4.28,1.5893,2.1864,2.1864,2.499,2.499,0.4411,4.5768,0.88684,0.0,560.63,41.19634,-70.88904
EN727,001,7,2025-01-24 19:07:07+00:00,32.353,32.343,25.6662,25.6584,320.69689,324.228,313.676,4.1489,4.1475,1464.01,1463.99,15564.0,24.796603,648.458,10.099,10.02,4.1496,4.1482,-0.0013,3.045161,3.044192,3.9581,1.1036,0.2687,1.2463,0.5698,11.4,2.1797,2.1891,2.1892,2.5033,2.5033,0.448,18.181,5.8501,0.0,310.76,41.19628,-70.88942
EN727,001,8,2025-01-24 19:07:19+00:00,32.3528,32.3431,25.6662,25.6585,320.70738,324.382,314.575,4.1476,4.147,1464.0,1463.99,15851.0,24.796741,660.417,10.021,9.943,4.1483,4.1476,-0.0007,3.045034,3.044148,3.9568,1.1049,0.2758,1.2888,0.5221,10.44,2.1841,2.1905,2.1905,2.5071,2.5072,0.4449,18.366,5.9935,0.0,306.43,41.19628,-70.88946
EN727,001,9,2025-01-24 19:07:29+00:00,32.3527,32.343,25.6668,25.6591,320.76202,324.248,314.208,4.1407,4.1408,1463.97,1463.96,16098.0,24.79686,670.708,10.08,10.001,4.1414,4.1415,0.0001,3.044449,3.043626,3.956,1.1059,0.2718,1.2647,0.5736,11.47,2.1784,2.1893,2.1893,2.5054,2.5054,0.4422,18.125,5.8529,0.0,309.67,41.19626,-70.8895
EN727,001,10,2025-01-24 19:07:42+00:00,32.3527,32.3432,25.6674,25.6597,320.8143,324.516,314.307,4.1341,4.136,1463.95,1463.94,16396.0,24.797004,683.125,10.146,10.067,4.1348,4.1366,0.0019,3.043891,3.043246,3.9567,1.1051,0.2649,1.2236,0.567,11.34,2.1726,2.19,2.19,2.5063,2.5064,0.4656,17.885,5.7734,0.0,309.78,41.19626,-70.88954
