cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,sbox1mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,cstarat0,v1,fleco_afl,v2,altm,v3,v4,sbeox0v,v5,sbeox1v,v6,par,cpar,v7,spar,latitude,longitude
EN715,01,1,2024-05-03 17:38:58+00:00,31.0883,31.0919,24.0129,24.016,287.02534,288.399,276.215,9.2832,9.2813,1482.75,1482.75,12330.0,124.73539,513.708,17.942,17.802,9.285,9.2831,-0.0019,3.363781,3.363966,4.3631,0.72,0.152,0.546,0.1981,3.96,2.2696,3.5326,3.5326,2.4556,2.4557,0.3519,22.39,1.6105,0.0,1390.5,41.19876,-70.89041
EN715,01,2,2024-05-03 17:39:31+00:00,31.0888,31.0924,24.0129,24.0158,287.0091,288.66,276.45,9.2855,9.2852,1482.76,1482.76,13114.0,124.735768,546.375,17.875,17.736,9.2874,9.287,-0.0004,3.364029,3.364349,4.362,0.721,0.1554,0.5666,0.1621,3.24,2.2581,3.5353,3.5354,2.4579,2.4579,0.3537,21.797,1.6678,0.0,1306.9,41.19881,-70.89065
EN715,01,3,2024-05-03 17:39:42+00:00,31.0886,31.0921,24.013,24.0161,287.02292,288.325,276.261,9.2835,9.2815,1482.75,1482.74,13392.0,124.735902,557.958,17.739,17.6,9.2853,9.2834,-0.002,3.363821,3.364001,4.362,0.721,0.1574,0.5785,0.1488,2.97,2.2692,3.5324,3.5324,2.4574,2.4574,0.3608,22.37,1.6756,0.0,1335.0,41.19882,-70.89075
EN715,01,4,2024-05-03 17:39:57+00:00,31.0885,31.092,24.0131,24.016,287.02715,288.385,276.688,9.2828,9.2814,1482.75,1482.75,13732.0,124.736066,572.125,17.859,17.72,9.2847,9.2833,-0.0014,3.363765,3.363985,4.3642,0.7189,0.1509,0.5391,0.1744,3.49,2.2582,3.5323,3.5324,2.4591,2.4591,0.3609,21.807,1.6489,0.0,1322.5,41.19884,-70.89088
EN715,01,5,2024-05-03 17:40:06+00:00,31.088,31.0916,24.0129,24.016,287.03414,288.384,276.31,9.2819,9.2796,1482.74,1482.74,13956.0,124.736174,581.458,17.748,17.609,9.2837,9.2815,-0.0023,3.363635,3.363786,4.3627,0.7203,0.1502,0.5353,0.1556,3.11,2.279,3.5323,3.5323,2.457,2.457,0.3742,22.883,1.6376,0.0,1397.3,41.19886,-70.89097
EN715,01,6,2024-05-03 17:42:31+00:00,31.0877,31.0912,24.0126,24.016,287.03403,288.344,276.314,9.2827,9.2786,1482.64,1482.63,17445.0,124.737857,726.833,11.398,11.309,9.2839,9.2798,-0.004,3.363353,3.363347,4.3388,0.7428,0.1499,0.5336,0.5735,11.47,2.7669,3.5368,3.5369,2.4594,2.4595,0.359,70.631,5.817,0.0,1214.2,41.19904,-70.89243
EN715,01,7,2024-05-03 17:42:42+00:00,31.0874,31.0911,24.013,24.0162,287.05937,288.56,276.474,9.2788,9.2766,1482.62,1482.62,17692.0,124.737976,737.125,11.367,11.278,9.28,9.2778,-0.0022,3.362993,3.363164,4.3683,0.7151,0.1548,0.5626,0.5724,11.45,2.7729,3.5361,3.5362,2.4592,2.4593,0.3764,71.614,5.9116,0.0,1211.4,41.19904,-70.89253
EN715,01,8,2024-05-03 17:42:50+00:00,31.0876,31.0911,24.013,24.016,287.05294,288.544,276.461,9.2798,9.2782,1482.62,1482.62,17902.0,124.738077,745.875,11.277,11.189,9.2809,9.2793,-0.0016,3.363086,3.363294,4.368,0.7154,0.1538,0.5566,0.5712,11.42,2.7794,3.5346,3.5347,2.459,2.4591,0.3705,72.679,6.0049,0.0,1210.3,41.19906,-70.89264
EN715,01,9,2024-05-03 17:42:59+00:00,31.0876,31.0913,24.0128,24.0159,287.0473,288.759,276.46,9.2807,9.279,1482.63,1482.63,18106.0,124.738176,754.375,11.308,11.22,9.2818,9.2802,-0.0016,3.363161,3.363382,4.3629,0.7202,0.1494,0.5305,0.5506,11.01,2.7883,3.536,3.5361,2.4583,2.4584,0.3859,74.198,6.1304,0.0,1210.3,41.19908,-70.89274
EN715,01,10,2024-05-03 17:43:08+00:00,31.0876,31.0911,24.0128,24.016,287.04726,287.918,276.102,9.2807,9.2778,1482.63,1482.62,18313.0,124.738275,763.0,11.329,11.241,9.2818,9.279,-0.0029,3.363162,3.363259,4.3692,0.7143,0.1496,0.5317,0.5796,11.59,2.7739,3.5344,3.5345,2.4586,2.4587,0.3784,71.771,5.9162,0.0,1213.1,41.1991,-70.89282
EN715,01,11,2024-05-03 17:43:35+00:00,31.0877,31.0914,24.0125,24.0159,287.0303,288.275,276.787,9.2833,9.2802,1482.64,1482.63,18969.0,124.738592,790.333,11.331,11.242,9.2845,9.2814,-0.0031,3.363393,3.363498,4.3682,0.7152,0.1588,0.587,0.4937,9.87,2.7515,3.5335,3.5336,2.4595,2.4596,0.3826,68.151,5.5913,0.0,1218.9,41.19916,-70.89312
EN715,01,12,2024-05-03 17:43:43+00:00,31.0879,31.0915,24.0129,24.016,287.04127,288.699,276.447,9.2815,9.2796,1482.63,1482.63,19167.0,124.738687,798.583,11.333,11.245,9.2827,9.2808,-0.0019,3.363266,3.36345,4.3686,0.7148,0.1582,0.5831,0.4955,9.91,2.7331,3.5363,3.5364,2.4596,2.4597,0.3788,65.332,5.3438,0.0,1222.6,41.19918,-70.8932
EN715,01,13,2024-05-03 17:46:17+00:00,31.0879,31.0917,24.0097,24.0132,286.91072,286.216,277.128,9.3027,9.2994,1482.59,1482.58,22870.0,124.740473,952.875,3.961,3.931,9.3031,9.2998,-0.0033,3.364686,3.364775,4.3669,0.7165,0.1406,0.4774,0.9918,19.84,3.5716,3.5144,3.5145,2.4674,2.4675,0.3592,452.25,36.301,0.0,1245.8,41.1997,-70.89479
EN715,01,14,2024-05-03 17:46:31+00:00,31.0879,31.0915,24.0111,24.0141,286.96624,286.243,276.714,9.294,9.2923,1482.55,1482.55,23201.0,124.740633,966.667,3.881,3.851,9.2944,9.2927,-0.0017,3.363949,3.364149,4.359,0.7238,0.1426,0.4894,0.9953,19.91,3.5854,3.5166,3.5167,2.4638,2.4638,0.3856,466.16,37.181,0.0,1253.8,41.19976,-70.89493
EN715,01,15,2024-05-03 17:46:40+00:00,31.0879,31.0915,24.0105,24.0137,286.94416,286.08,276.958,9.2975,9.2952,1482.57,1482.56,23404.0,124.740731,975.125,3.957,3.926,9.2979,9.2956,-0.0022,3.364243,3.364405,4.3635,0.7196,0.1433,0.4937,1.0055,20.11,3.5743,3.5154,3.5155,2.4661,2.4662,0.3528,454.76,36.148,0.0,1258.1,41.1998,-70.89501
EN715,01,16,2024-05-03 17:46:48+00:00,31.0878,31.0915,24.011,24.0142,286.96746,286.084,276.761,9.2938,9.2917,1482.55,1482.55,23600.0,124.740825,983.292,3.953,3.922,9.2943,9.2921,-0.0021,3.363928,3.364107,4.3575,0.7252,0.1429,0.4916,1.0003,20.0,3.5746,3.5147,3.5148,2.4636,2.4636,0.3843,454.86,36.032,0.0,1262.4,41.19984,-70.89508
EN715,01,17,2024-05-03 17:46:56+00:00,31.0878,31.0914,24.01,24.0132,286.92634,285.751,277.463,9.3003,9.2982,1482.58,1482.57,23802.0,124.740923,991.708,3.916,3.886,9.3007,9.2986,-0.0021,3.364472,3.364649,4.3529,0.7295,0.1445,0.5009,0.9836,19.67,3.588,3.5148,3.5149,2.4677,2.4677,0.3967,468.83,37.108,0.0,1263.4,41.1999,-70.89514
EN715,01,18,2024-05-03 17:47:04+00:00,31.0877,31.0914,24.0097,24.0128,286.9159,286.366,277.213,9.3019,9.3006,1482.58,1482.58,23998.0,124.741017,999.875,3.827,3.797,9.3023,9.301,-0.0013,3.364603,3.364849,4.3669,0.7165,0.1397,0.4718,0.9912,19.82,3.5956,3.5183,3.5184,2.4661,2.4662,0.3857,477.92,37.787,0.0,1264.8,41.19994,-70.8952
EN715,01,19,2024-05-03 17:47:12+00:00,31.0878,31.0914,24.0102,24.0131,286.92982,286.362,277.195,9.2997,9.2988,1482.57,1482.57,24185.0,124.741107,1007.667,3.873,3.843,9.3001,9.2992,-0.0009,3.364426,3.3647,4.3618,0.7212,0.1418,0.4846,0.9964,19.93,3.6011,3.5168,3.5169,2.468,2.4681,0.3831,483.56,38.297,0.0,1262.6,41.19998,-70.89526
