cruise,cast,niskin,date,sigma_00,sigma_11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,depsm,latitude,longitude
AR88,1,1,2025-04-24 15:06:34+00:00,25.3769,25.3755,299.94768,286.656,6.9355,6.9363,32.3965,32.3948,1025.4472,1025.4457,15.288,6.9368,6.9376,3.28637,3.286287,2.6808,0.3257,0.2678,0.00082231,15.168646398478863,41.197833,-70.883333
AR88,1,2,2025-04-24 15:06:42+00:00,25.3754,25.3742,299.90589,287.046,6.9418,6.942,32.3955,32.3941,1025.4444,1025.4433,15.033,6.9431,6.9433,3.286817,3.286705,2.6814,0.217,0.1995,0.00089706,14.915646410976898,41.197833,-70.883333
AR88,1,3,2025-04-24 15:06:49+00:00,25.3757,25.3745,299.91675,286.917,6.9401,6.9393,32.3957,32.3941,1025.4451,1025.4439,15.099,6.9415,6.9406,3.286698,3.286469,2.682,0.2717,0.1967,0.00064788,14.981128790695234,41.197833,-70.883333
AR88,1,4,2025-04-24 15:06:57+00:00,25.3764,25.3752,299.9371,286.913,6.9371,6.9372,32.3961,32.3945,1025.4466,1025.4454,15.284,6.9384,6.9386,3.286474,3.286349,2.6842,0.3182,0.2022,0.00069771,15.164677773639513,41.197833,-70.883333
AR88,1,5,2025-04-24 15:07:10+00:00,25.377,25.3756,299.94931,286.925,6.9352,6.9361,32.3965,32.3949,1025.4462,1025.4448,15.062,6.9365,6.9375,3.286345,3.286274,2.6807,0.2072,0.1872,0.00077247,14.944418974343826,41.197833,-70.883333
AR88,1,6,2025-04-24 15:10:33+00:00,25.3138,25.3221,297.40357,288.434,7.3089,7.2635,32.3801,32.3827,1025.3494,1025.3576,7.748,7.3096,7.2642,3.316737,3.31305,2.7034,0.089,0.1771,0.00082231,7.687651856706021,41.197833,-70.883333
AR88,1,7,2025-04-24 15:10:40+00:00,25.326,25.3291,297.86889,287.346,7.2401,7.2157,32.3836,32.3834,1025.363,1025.3661,8.074,7.2408,7.2165,3.311129,3.308994,2.7,0.107,0.1731,0.00099673,8.011106351372822,41.197833,-70.883333
AR88,1,8,2025-04-24 15:10:48+00:00,25.2976,25.3189,296.79961,287.092,7.3986,7.3181,32.3751,32.3882,1025.3341,1025.3554,7.952,7.3993,7.3188,3.324044,3.318289,2.7035,0.0755,0.1632,0.00082231,7.890059023690325,41.197833,-70.883333
AR88,1,9,2025-04-24 15:10:58+00:00,25.28,25.2943,295.93474,287.226,7.5255,7.4331,32.375,32.3769,1025.314,1025.3283,7.412,7.5262,7.4338,3.334994,3.32717,2.707,0.0848,0.1703,0.00089706,7.354274909746412,41.197833,-70.883333
AR88,1,10,2025-04-24 15:11:06+00:00,25.3139,25.3237,297.23979,287.449,7.3316,7.2819,32.3841,32.388,1025.3485,1025.3583,7.553,7.3322,7.2826,3.319056,3.315113,2.7066,0.1005,0.1985,0.00077247,7.49417423044065,41.197833,-70.883333
