cruise,cast,niskin,date,sal00,sal11,sigma_t00,sigma_t11,oxsatmm_kg,sbox0mm_kg,potemp090c,potemp190c,svcm,svcm1,scan,timej,times,prdm,depsm,t090c,t190c,t2_t190c,c0s_m,c1s_m,v0,fleco_afl,v1,turbwetntu0,v2,altm,v3,sbeox0v,v4,par,cpar,v5,cstarat0,cstartr0,v6,v7,spar,latitude,longitude
AT46,22,1,2022-02-21 02:41:20+00:00,33.0197,33.0091,26.0412,26.033,308.42801,305.006,5.5553,5.5543,1471.31,1471.29,4430.0,52.112032,184.542,50.741,50.342,5.5593,5.5583,-0.001,3.224876,3.223851,0.1338,0.7776,0.1494,0.5906,0.2048,4.1,2.9342,2.9343,0.0098,4.3815e-05,0.0018565,4.2444,0.4086,90.2894,0.1558,0.0,2.8503,40.8601,-70.88138
AT46,22,2,2022-02-21 02:41:30+00:00,33.0195,33.0092,26.0412,26.0331,308.43871,304.658,5.554,5.5533,1471.3,1471.28,4672.0,52.112148,194.625,50.58,50.182,5.5579,5.5572,-0.0007,3.22473,3.223757,0.1381,0.8329,0.1508,0.5988,0.2126,4.25,2.9311,2.9312,0.01,0.00010536,0.0041911,4.2466,0.4065,90.3372,0.156,0.0001,2.742,40.86008,-70.88138
AT46,22,3,2022-02-21 02:45:14+00:00,33.0217,33.0111,26.041,26.0327,308.31121,305.232,5.5725,5.5719,1470.98,1470.96,10046.0,52.11474,418.542,26.719,26.511,5.5746,5.574,-0.0006,3.225314,3.224324,0.1365,0.8125,0.1398,0.5328,1.4239,28.48,2.9417,2.9419,0.01,9.9132e-05,0.0032999,4.2503,0.403,90.4164,0.1565,0.0002,3.3554,40.85962,-70.88147
AT46,22,4,2022-02-21 02:45:24+00:00,33.0207,33.0102,26.0409,26.0327,308.36009,305.137,5.5662,5.5655,1470.95,1470.94,10275.0,52.114851,428.083,26.697,26.488,5.5683,5.5676,-0.0007,3.224674,3.223689,0.1333,0.7714,0.1487,0.586,1.4255,28.51,2.9389,2.9391,0.01,9.9899e-05,0.0031038,4.2418,0.4111,90.2342,0.132,0.0002,3.6801,40.8596,-70.88146
AT46,22,5,2022-02-21 02:48:48+00:00,33.0232,33.0123,26.041,26.0325,308.24044,304.454,5.5833,5.5827,1470.68,1470.66,15176.0,52.117214,632.292,5.892,5.846,5.5838,5.5831,-0.0007,3.225318,3.224298,0.1266,0.6839,0.1425,0.5487,2.4854,49.71,2.9458,2.946,0.1736,0.050093,1.5296,4.2522,0.4012,90.4567,0.1571,0.0002,3.7884,40.85908,-70.8815
AT46,22,6,2022-02-21 02:48:56+00:00,33.0231,33.0124,26.0411,26.0326,308.24661,304.59,5.5826,5.5825,1470.67,1470.65,15365.0,52.117305,640.167,5.571,5.528,5.583,5.5829,-0.0001,3.225224,3.224273,0.1292,0.7173,0.1435,0.5553,2.4906,49.81,2.9449,2.945,0.169,0.048519,1.3922,4.2588,0.3951,90.5964,0.1571,0.0002,3.8244,40.85906,-70.8815
AT46,23,1,2022-02-21 11:40:48+00:00,32.4628,32.4518,25.8886,25.8796,332.5487,331.556,2.6583,2.6605,1457.84,1457.83,3150.0,52.486658,131.208,12.035,11.941,2.659,2.6611,0.0021,2.930058,2.929332,0.2187,1.8806,2.1987,12.8863,0.1569,3.14,2.9453,2.9453,0.0099,7.4205e-05,8163.2,0.5633,8.6117,11.8346,0.1538,0.0001,2.0205,41.32396,-70.56296
AT46,23,2,2022-02-21 11:41:00+00:00,32.458,32.447,25.8854,25.8765,332.63313,331.396,2.6497,2.6513,1457.8,1457.79,3442.0,52.486798,143.375,12.246,12.151,2.6504,2.6519,0.0015,2.928956,2.928186,0.2341,2.0807,2.8228,16.6308,0.1557,3.11,2.9431,2.9431,0.01,8.7436e-05,16326.0,0.3657,10.3002,7.6242,0.1538,0.0002,1.9122,41.32398,-70.56294
AT46,23,3,2022-02-21 11:43:51+00:00,32.4668,32.455,25.8937,25.8844,332.74719,331.959,2.6339,2.6328,1457.64,1457.62,7543.0,52.488776,314.25,5.946,5.899,2.6342,2.6332,-0.001,2.928056,2.927005,0.1982,1.6153,1.33,7.674,0.4632,9.26,2.9474,2.9474,0.5565,0.27387,11.671,1.0815,5.8999,22.8796,0.1546,0.0002,2.6699,41.3242,-70.5626
AT46,23,4,2022-02-21 11:44:02+00:00,32.4688,32.4593,25.895,25.8872,332.7134,331.77,2.6373,2.6403,1457.66,1457.66,7811.0,52.488905,325.417,6.133,6.085,2.6376,2.6406,0.003,2.928513,2.927984,0.1965,1.5923,1.2916,7.4437,0.4521,9.04,2.9482,2.9482,0.536,0.25672,6133.0,1.0886,5.8734,23.0314,0.1548,0.0001,2.4173,41.32422,-70.5626
AT46,23,5,2022-02-21 11:44:14+00:00,32.4771,32.4624,25.9006,25.8891,332.57328,331.62,2.6515,2.6472,1457.73,1457.69,8110.0,52.489049,337.875,6.261,6.212,2.6518,2.6475,-0.0043,2.930379,2.928812,0.2017,1.66,1.5042,8.7192,0.447,8.94,2.9479,2.9479,0.4881,0.22172,8172.1,1.0655,5.96,22.5376,0.1547,0.0002,2.3452,41.32422,-70.5626
AT46,23,6,2022-02-21 11:45:48+00:00,32.4585,32.4424,25.8882,25.8757,332.88054,331.682,2.6207,2.616,1457.51,1457.47,10358.0,52.490134,431.542,2.154,2.137,2.6208,2.6162,-0.0046,2.926104,2.924405,0.199,1.625,1.3491,7.7883,0.6668,13.33,2.9465,2.9465,2.3297,22.984,4972.9,0.9895,6.258,20.9193,0.1466,0.0002,2.7781,41.32422,-70.56262
AT46,23,7,2022-02-21 11:45:55+00:00,32.4549,32.44,25.8856,25.8739,332.91816,332.166,2.6173,2.6142,1457.48,1457.45,10536.0,52.490219,438.958,2.018,2.002,2.6174,2.6143,-0.0031,2.925521,2.924045,0.2003,1.6418,1.2883,7.4238,0.6572,13.14,2.9489,2.949,2.3972,26.536,5200.9,0.9881,6.2638,20.8891,0.1531,0.0002,2.5256,41.32422,-70.56262
AT46,23,8,2022-02-21 11:46:04+00:00,32.444,32.432,25.8776,25.8682,333.02065,331.589,2.6083,2.6068,1457.43,1457.41,10734.0,52.490315,447.208,2.19,2.173,2.6084,2.6069,-0.0015,2.923898,2.922791,0.2005,1.6451,1.3306,7.6777,0.6601,13.2,2.9455,2.9455,2.3546,24.107,1013.5,0.9904,6.2546,20.9374,0.1532,0.0001,2.742,41.32422,-70.56263
AT46,23,9,2022-02-21 11:46:10+00:00,32.4503,32.4367,25.882,25.8714,332.94027,332.06,2.616,2.6126,1457.48,1457.45,10891.0,52.490391,453.75,2.411,2.392,2.6161,2.6128,-0.0034,2.925056,2.923663,0.1982,1.6143,1.4479,8.3811,0.6612,13.22,2.9475,2.9475,2.1789,16.64,2738.4,0.9813,6.2918,20.7441,0.1534,0.0001,2.5977,41.32422,-70.56263
AT46,23,10,2022-02-21 11:46:17+00:00,32.4526,32.4359,25.8835,25.8707,332.90101,331.242,2.62,2.6134,1457.5,1457.45,11062.0,52.490473,460.875,2.29,2.272,2.6201,2.6136,-0.0066,2.925568,2.923665,0.1932,1.5495,1.367,7.896,0.6532,13.06,2.9465,2.9465,2.2562,19.763,2861.8,0.9735,6.3239,20.5784,0.1533,0.0001,2.6699,41.32422,-70.56264
